,Plant Code,Stack Height (m),Annual Plant Generation (MWh),Annual Plant SO2 Emissions (M.Tonnes),Annual Plant NOx Emissions (M.Tonnes),Marginal SO2 Emissions (M.Tonnes per MWh),Marginal NOx Emissions (M.Tonnes per MWh),Marginal Emissions Damages SO2; Annual ($ per M.Tonne),Marginal Emissions Damages NOx; Annual ($ per M.Tonne),Marginal Emissions Damages SO2; Spring ($ per M.Tonne),Marginal Emissions Damages NOx; Spring ($ per M.Tonne),Marginal Emissions Damages SO2; Summer ($ per M.Tonne),Marginal Emissions Damages NOx; Summer ($ per M.Tonne),Marginal Emissions Damages SO2; Fall ($ per M.Tonne),Marginal Emissions Damages NOx; Fall ($ per M.Tonne),Marginal Emissions Damages SO2; Winter ($ per M.Tonne),Marginal Emissions Damages NOx; Winter ($ per M.Tonne),Marginal Health Cost; Annual ($ per MWh),Marginal Health Cost; Spring ($ per MWh),Marginal Health Cost; Summer ($ per MWh),Marginal Health Cost; Fall ($ per MWh),Marginal Health Cost; Winter ($ per MWh)
654,3169,83.0,552.0,2.2058240000000002,3.871983,0.0039960579710144935,0.007014461956521739,45559.684641119995,31366.55738412,60746.822775119996,39673.73707812,63417.95807279999,15627.220815239998,33758.86770132,38712.95882952,24294.071795519998,30830.72438652,402.07866444501997,521.0377447718417,363.03838275694096,406.4529693043439,313.34146254813766
655,3170,,398.0,1.482038,2.59402,0.003723713567839196,0.006517638190954774,45559.684641119995,31366.55738412,60746.822775119996,39673.73707812,63417.95807279999,15627.220815239998,33758.86770132,38712.95882952,24294.071795519998,30830.72438652,374.0870881701285,484.78283212909076,338.0028821242342,378.0254126464331,291.4076714794208
656,3176,,108753.0,0.25214600000000004,5.788474,2.318519948874974e-06,5.3225878826331226e-05,43642.504077,19486.73272824,49578.08904263999,19483.1910966,64823.4092928,9772.07857668,31276.770296519997,22063.6080942,28847.144840520003,26542.67159016,1.138384491235787,1.1519577569303476,0.6704218378032012,1.246870746762412,1.479639702565792
657,3236,,1484595.0,3.608953,170.739122,2.4309343625702635e-06,0.00011500720533209394,48231.49348391999,25517.492706,65336.12193960001,33279.8522382,66918.99419604,12056.94443964,35199.122757239995,25898.600468399996,25381.143669479996,30614.62932936,3.0519431180672965,3.9862506237204682,1.5493111673471194,3.0640924189260463,3.5826028557551224
658,3250,,21079.999,1.5781800000000001,29.080233999999997,7.486622746044723e-05,0.001379517807377505,30772.372025280005,7119.087752928,37183.477083959995,6495.210461088001,30450.998708159997,1769.58242286,18518.490708719997,2868.2383239119995,36624.88256147999,17069.88290652,12.1247197309894,11.744045146873628,4.720921859640491,5.343195381262421,26.290174227953152
659,3264,60.0,5272034.0,10.247286,169.197222,1.9437063569772125e-06,3.209334803227749e-05,27680.641190280006,7704.343023192,30317.182333679997,7140.703392912,32222.499128279997,2378.923182048,16671.28801116,4177.821944316,31252.964690039997,17013.14725476,0.3010612002501023,0.2880967792116006,0.13897868601684998,0.16648438216210928,0.606755442113814
660,3281,,316.0,0.005442000000000001,0.48978000000000005,1.7221518987341773e-05,0.0015499367088607596,29874.178700880002,6721.1441572799995,37473.189794519996,6084.42851886,30375.107981639998,1738.88981844,18332.58742116,3184.943699544,33008.3768334,15572.714601599999,10.931826790641733,10.075824363383003,3.2182746611127473,5.252176157938649,24.705176406009528
661,3285,,13230.0,0.046257,10.621877000000001,3.4963718820861678e-06,0.0008028629629629631,29189.07885828,5354.176716312,35650.39597104,5817.496135116,29951.712268919997,1705.45564812,17390.248619039998,1721.754127272,33352.330062119996,11959.873104768,4.4007260572696465,4.7952992261232,1.473969499448931,1.4431353964094078,9.718751306586341
662,3287,124.0,752842.0,1.866606,224.098839,2.4794126788887976e-06,0.0002976704793303243,29897.65692972,6568.949937336,37216.80686772,6185.928753804,31363.288406399995,1812.2535769439999,18173.6541258,2875.998560724,32493.097734959996,15135.31764612,2.029511106204326,1.933644200063653,0.6172169258434894,0.9011598585852841,4.585901057037688
663,3291,,2386.0,0.047164,4.591234,1.9766974015088013e-05,0.0019242388935456832,29897.65692972,6568.949937336,37216.80686772,6185.928753804,31363.288406399995,1812.2535769439999,18173.6541258,2875.998560724,32493.097734959996,15135.31764612,13.2312151668182,12.638868355051006,4.1071661246799485,5.893346437190413,29.766257099429072
